,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
upper_bound[33],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[34],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
decay[1],-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
decay[2],-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
decay[3],-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
decay[4],-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
decay[5],-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
decay[6],-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
decay[7],-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
decay[8],-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
